                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.9149,                0.98143,                 1.2025,                 0.4017,                 0.3246,                0.33368,                0.14749,                 2.0082,                 1.2408,                 1.3811,               0.005545,               0.005545,               0.005545
                     47,                 1.9421,                0.99962,                 1.1995,                0.41636,                0.31344,                0.33455,                 0.1464,                 1.9809,                 1.2221,                 1.3363,               0.005446,               0.005446,               0.005446
                     48,                 1.9118,                0.98972,                 1.2187,                0.35955,                0.32745,                 0.3204,                0.14258,                 1.9817,                 1.2153,                 1.3591,               0.005347,               0.005347,               0.005347
                     49,                 1.8573,                0.96554,                  1.199,                0.37792,                0.33725,                 0.3352,                0.14701,                 2.0882,                 1.3051,                 1.3631,               0.005248,               0.005248,               0.005248
                     50,                 1.8955,                0.98603,                 1.2191,                0.39736,                0.34147,                0.33817,                0.14987,                 2.0798,                 1.2652,                 1.3635,               0.005149,               0.005149,               0.005149
                     51,                 1.9156,                0.98296,                 1.2012,                 0.4104,                0.31429,                0.32491,                0.14797,                 1.9319,                 1.2331,                 1.3228,                0.00505,                0.00505,                0.00505
                     52,                 1.8571,                 0.9694,                 1.1991,                 0.3949,                0.33755,                0.33353,                0.14887,                 2.0115,                 1.1894,                 1.3531,               0.004951,               0.004951,               0.004951
                     53,                 1.9236,                0.97483,                  1.202,                0.36862,                0.33514,                0.32672,                 0.1496,                  1.961,                 1.1881,                 1.3389,               0.004852,               0.004852,               0.004852
                     54,                 1.9055,                0.99373,                 1.2031,                0.40661,                0.32907,                0.33536,                0.14996,                 1.9404,                 1.3097,                 1.3234,               0.004753,               0.004753,               0.004753
                     55,                 1.8752,                0.97591,                 1.1966,                0.38864,                0.33302,                0.33166,                0.14674,                 2.0193,                 1.2444,                 1.3738,               0.004654,               0.004654,               0.004654
                     56,                 1.8842,                0.98599,                 1.2128,                0.41214,                0.31744,                0.33077,                 0.1422,                 2.0908,                 1.3032,                 1.4056,               0.004555,               0.004555,               0.004555
                     57,                 1.9207,                0.97643,                 1.2008,                0.36661,                0.34145,                0.33638,                0.14628,                 2.0224,                 1.2991,                 1.3549,               0.004456,               0.004456,               0.004456
                     58,                  1.876,                0.98764,                 1.2165,                0.41275,                0.32775,                0.33502,                 0.1503,                 1.9734,                 1.2436,                 1.3397,               0.004357,               0.004357,               0.004357
                     59,                 1.8411,                0.95986,                 1.2057,                0.41344,                 0.3197,                0.33513,                 0.1502,                 1.9066,                 1.1235,                  1.306,               0.004258,               0.004258,               0.004258
                     60,                 1.8308,                0.95436,                 1.2045,                0.40871,                0.33307,                0.33751,                0.15233,                 1.9935,                 1.2225,                 1.3407,               0.004159,               0.004159,               0.004159
                     61,                 1.9163,                0.97578,                 1.1865,                0.40028,                0.32472,                0.33123,                0.15052,                 1.9224,                 1.2773,                 1.3035,                0.00406,                0.00406,                0.00406
                     62,                 1.8623,                0.96603,                 1.1998,                0.40652,                0.32554,                0.32954,                0.15156,                 1.8889,                 1.1616,                 1.3085,               0.003961,               0.003961,               0.003961
                     63,                 1.8473,                0.96321,                 1.2046,                0.38111,                 0.3257,                0.32825,                0.14846,                 1.9845,                 1.3417,                  1.337,               0.003862,               0.003862,               0.003862
                     64,                 1.9044,                0.98016,                 1.1887,                0.41555,                0.33232,                0.33937,                0.15698,                 1.9276,                 1.2159,                 1.3123,               0.003763,               0.003763,               0.003763
                     65,                 1.8716,                0.96478,                 1.1884,                0.39233,                0.33484,                0.33867,                0.14919,                 1.9797,                 1.2855,                 1.3349,               0.003664,               0.003664,               0.003664
                     66,                 1.8562,                0.96393,                 1.2084,                0.39829,                0.33393,                0.33674,                0.15151,                 1.9425,                 1.2196,                  1.331,               0.003565,               0.003565,               0.003565
                     67,                 1.8702,                0.96228,                 1.1833,                0.41019,                0.33183,                0.33769,                0.15462,                 1.9301,                 1.1859,                 1.3462,               0.003466,               0.003466,               0.003466
