                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.4601,                 1.3371,                 1.4107,                0.24164,                0.18738,                0.18903,                0.07029,                 2.3781,                 2.6493,                 1.5496,               0.005644,               0.005644,               0.005644
                     46,                 2.4268,                 1.3288,                 1.4143,                0.56358,                0.22131,                0.19074,                 0.0756,                 2.3081,                 1.8004,                 1.5322,               0.005545,               0.005545,               0.005545
                     47,                 2.4493,                 1.3488,                 1.4036,                0.56331,                0.22972,                0.19307,                 0.0669,                 2.6897,                 2.0347,                 1.6095,               0.005446,               0.005446,               0.005446
                     48,                 2.4548,                 1.3514,                 1.4394,                0.55292,                0.19563,                0.17195,                0.06698,                  2.384,                 2.3402,                 1.5302,               0.005347,               0.005347,               0.005347
                     49,                 2.3543,                 1.3131,                 1.4099,                0.27739,                0.22641,                0.21769,                0.08485,                 2.5623,                 2.2374,                 1.5879,               0.005248,               0.005248,               0.005248
                     50,                 2.3927,                 1.3266,                 1.4241,                0.27977,                0.24932,                0.22567,                0.08355,                  2.545,                 2.1548,                 1.5552,               0.005149,               0.005149,               0.005149
                     51,                 2.4034,                 1.3033,                 1.3972,                0.58094,                0.21762,                0.19762,                0.07201,                 2.3918,                 1.9223,                 1.5027,                0.00505,                0.00505,                0.00505
                     52,                 2.3345,                 1.2867,                 1.3957,                0.27132,                0.23776,                0.21608,                0.08416,                 2.4604,                 2.2378,                 1.5111,               0.004951,               0.004951,               0.004951
                     53,                 2.3986,                 1.2898,                 1.3842,                0.64311,                0.20013,                0.19553,                0.08273,                 2.2245,                 2.2934,                 1.4594,               0.004852,               0.004852,               0.004852
                     54,                 2.3712,                 1.3051,                 1.3923,                0.27107,                0.26289,                0.22958,                0.08975,                 2.3312,                 1.8972,                 1.4903,               0.004753,               0.004753,               0.004753
                     55,                 2.3443,                 1.2943,                 1.3866,                0.24355,                0.24772,                 0.2062,                 0.0857,                 2.2535,                 2.1267,                  1.448,               0.004654,               0.004654,               0.004654
