                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.4684,                0.95867,                 1.4858,                 0.7578,                0.74091,                0.79946,                0.47551,                 1.4058,                0.93494,                 1.5481,               0.002773,               0.002773,               0.002773
                     75,                 1.4701,                0.96874,                 1.4878,                0.74891,                0.74368,                0.79669,                0.47292,                 1.4101,                0.93532,                 1.5501,               0.002674,               0.002674,               0.002674
                     76,                 1.4655,                0.96805,                 1.4958,                0.75349,                0.74194,                0.79937,                0.47727,                 1.4039,                0.93428,                 1.5439,               0.002575,               0.002575,               0.002575
                     77,                 1.4667,                0.96553,                 1.4901,                0.75868,                0.74427,                0.80148,                0.47834,                 1.4034,                0.92126,                 1.5419,               0.002476,               0.002476,               0.002476
                     78,                 1.4659,                 0.9595,                 1.4905,                0.75833,                0.74836,                0.80414,                0.48158,                 1.3981,                0.91946,                 1.5393,               0.002377,               0.002377,               0.002377
                     79,                 1.4572,                0.95585,                 1.4886,                0.75728,                0.74829,                0.80341,                0.48035,                 1.4009,                0.92191,                 1.5433,               0.002278,               0.002278,               0.002278
                     80,                 1.4555,                0.95596,                 1.4907,                0.75526,                0.74983,                0.80183,                 0.4785,                  1.401,                0.92425,                 1.5432,               0.002179,               0.002179,               0.002179
                     81,                 1.4557,                0.95139,                 1.4811,                0.76177,                0.74615,                0.80478,                0.47999,                  1.404,                0.91406,                 1.5445,                0.00208,                0.00208,                0.00208
                     82,                  1.457,                0.95455,                 1.4824,                0.75833,                0.74759,                0.80505,                0.48087,                  1.401,                0.91678,                 1.5408,               0.001981,               0.001981,               0.001981
                     83,                 1.4555,                0.94506,                 1.4825,                 0.7553,                0.74499,                0.80035,                0.47818,                 1.4026,                0.92087,                 1.5402,               0.001882,               0.001882,               0.001882
                     84,                 1.4603,                0.95307,                 1.4836,                0.75797,                0.74871,                0.80432,                 0.4813,                  1.398,                 0.9159,                 1.5398,               0.001783,               0.001783,               0.001783
                     85,                 1.4583,                0.94836,                 1.4775,                0.75551,                0.75303,                0.80506,                0.48102,                 1.4021,                0.91439,                 1.5428,               0.001684,               0.001684,               0.001684
                     86,                 1.4509,                0.94822,                 1.4864,                0.75986,                0.74847,                0.80663,                0.48184,                 1.4005,                0.91369,                 1.5401,               0.001585,               0.001585,               0.001585
                     87,                  1.455,                0.94668,                 1.4793,                0.75717,                0.75175,                0.80741,                0.48192,                 1.4016,                0.90979,                 1.5407,               0.001486,               0.001486,               0.001486
                     88,                 1.4484,                0.93923,                 1.4758,                0.75975,                0.75349,                0.80792,                0.48436,                 1.3936,                 0.9094,                  1.534,               0.001387,               0.001387,               0.001387
                     89,                  1.449,                0.94351,                 1.4806,                0.75286,                0.75387,                0.80411,                0.47974,                 1.4043,                0.91686,                 1.5413,               0.001288,               0.001288,               0.001288
                     90,                 1.4454,                0.95694,                 1.5267,                0.75436,                0.74552,                0.79865,                0.47476,                 1.4091,                0.92943,                 1.5498,               0.001189,               0.001189,               0.001189
                     91,                  1.439,                0.94033,                 1.5213,                0.75963,                0.75302,                0.80819,                0.48379,                 1.3947,                0.90528,                 1.5369,                0.00109,                0.00109,                0.00109
                     92,                 1.4346,                0.93862,                 1.5228,                0.75672,                0.75576,                0.80806,                0.48243,                 1.4022,                0.90818,                 1.5431,               0.000991,               0.000991,               0.000991
                     93,                 1.4325,                0.93087,                 1.5208,                0.76215,                0.75128,                 0.8086,                0.48272,                 1.4015,                0.90756,                 1.5415,               0.000892,               0.000892,               0.000892
                     94,                  1.425,                0.93272,                 1.5219,                0.75786,                0.75747,                0.81019,                 0.4859,                 1.3946,                0.89645,                 1.5371,               0.000793,               0.000793,               0.000793
                     95,                 1.4292,                0.93072,                 1.5164,                0.76665,                0.75008,                0.81048,                0.48467,                 1.3994,                0.89874,                 1.5397,               0.000694,               0.000694,               0.000694
                     96,                 1.4286,                0.92493,                 1.5228,                0.76116,                0.75198,                 0.8072,                 0.4832,                  1.397,                0.90223,                 1.5395,               0.000595,               0.000595,               0.000595
                     97,                   1.42,                0.92255,                  1.512,                0.75695,                0.75497,                  0.807,                 0.4823,                 1.3981,                0.90023,                 1.5409,               0.000496,               0.000496,               0.000496
                     98,                 1.4214,                0.92335,                  1.514,                 0.7646,                0.75296,                0.80982,                0.48548,                 1.3946,                0.89551,                  1.538,               0.000397,               0.000397,               0.000397
                     99,                 1.4243,                0.91975,                 1.5154,                0.76176,                0.75037,                0.80566,                0.48204,                 1.3975,                0.89841,                 1.5396,               0.000298,               0.000298,               0.000298
